"decil","n","n_malos","n_buenos","tasa_malos","min_pred","max_pred","avg_pred","pct_total","pct_malos","pct_buenos","pct_malos_acum","pct_buenos_acum","odds","lift"
1,751,522,229,0.695073235685752,0.637106418609619,0.69282865524292,0.65981369155066,0.100026638252531,0.166242038216561,0.0524267399267399,0.166242038216561,0.0524267399267399,2.27947598253275,1.66197766035944
2,751,473,278,0.62982689747004,0.604826092720032,0.637106418609619,0.61908061867865,0.100026638252531,0.150636942675159,0.0636446886446886,0.31687898089172,0.116071428571429,1.70143884892086,1.50596826312263
3,751,391,360,0.520639147802929,0.562099993228912,0.604826092720032,0.583879420665228,0.100026638252531,0.124522292993631,0.0824175824175824,0.44140127388535,0.198489010989011,1.08611111111111,1.24489131264471
4,751,365,386,0.486018641810919,0.538317978382111,0.562099993228912,0.547851043836413,0.100026638252531,0.116242038216561,0.0883699633699634,0.557643312101911,0.286858974358974,0.94559585492228,1.16211081615171
5,751,344,407,0.458055925432756,0.5036740899086,0.538317978382111,0.522784838187552,0.100026638252531,0.109554140127389,0.0931776556776557,0.667197452229299,0.38003663003663,0.845208845208845,1.09524964590737
6,751,304,447,0.404793608521971,0.462042033672333,0.5036740899086,0.48426563972322,0.100026638252531,0.0968152866242038,0.102335164835165,0.764012738853503,0.482371794871795,0.680089485458613,0.967895035918139
7,751,274,477,0.364846870838882,0.430900007486343,0.462015777826309,0.447155614151618,0.100026638252531,0.0872611464968153,0.109203296703297,0.851273885350318,0.591575091575092,0.574423480083857,0.872379078426217
8,751,193,558,0.256990679094541,0.386436104774475,0.430809140205383,0.409005444908587,0.100026638252531,0.0614649681528662,0.127747252747253,0.912738853503185,0.719322344322344,0.345878136200717,0.614485993198029
9,750,160,590,0.213333333333333,0.329414248466492,0.38642954826355,0.361198660095533,0.0998934469898775,0.0509554140127389,0.13507326007326,0.963694267515924,0.854395604395604,0.271186440677966,0.510097664543524
10,750,114,636,0.152,0.19526694715023,0.329365432262421,0.28177162985007,0.0998934469898775,0.0363057324840764,0.145604395604396,1,1,0.179245283018868,0.363444585987261
